"codice","descrizione"
"01084","Altre forme di tubercolosi primaria progressiva, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01085","Altre forme di tubercolosi primaria progressiva, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01086","Altre forme di tubercolosi primaria progressiva, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0109","Infezione tubercolare primaria, non specificata"
"01090","Infezione tubercolare primaria, non specificata"
"01091","Infezione tubercolare primaria, non specificata, esame batteriologico o istologico non effettuato"
"01092","Infezione tubercolare primaria, non specificata, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01093","Infezione tubercolare primaria, non specificata, esame microscopico dell’espettorato positivo"
"01094","Infezione tubercolare primaria, non specificata, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01095","Infezione tubercolare primaria, non specificata, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01096","Infezione tubercolare primaria, non specificata, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"011","Tubercolosi polmonare"
"0110","Tubercolosi del polmone infiltrativa"
"01100","Tubercolosi del polmone infiltrativa, non specificata"
"01101","Tubercolosi del polmone infiltrativa, esame batteriologico o istologico non effettuato"
"01102","Tubercolosi del polmone infiltrativa, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01103","Tubercolosi del polmone infiltrativa, esame microscopico dell’espettorato positivo"
"01104","Tubercolosi del polmone infiltrativa, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01105","Tubercolosi del polmone infiltrativa, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01106","Tubercolosi del polmone infiltrativa, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0111","Tubercolosi del polmone nodulare"
"01110","Tubercolosi del polmone nodulare, non specificata"
"01111","Tubercolosi del polmone nodulare, esame batteriologico o istologico non effettuato"
"01112","Tubercolosi del polmone nodulare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01113","Tubercolosi del polmone nodulare, esame microscopico dell’espettorato positivo"
"01114","Tubercolosi del polmone nodulare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01115","Tubercolosi del polmone nodulare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01116","Tubercolosi del polmone nodulare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0112","Tubercolosi del polmone cavitaria"
"01120","Tubercolosi del polmone cavitaria, non specificata"
"01121","Tubercolosi del polmone cavitaria, esame batteriologico o istologico non effettuato"
"01122","Tubercolosi del polmone cavitaria, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01123","Tubercolosi del polmone cavitaria, esame microscopico dell’espettorato positivo"
"01124","Tubercolosi del polmone cavitaria, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01125","Tubercolosi del polmone cavitaria, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01126","Tubercolosi del polmone cavitaria, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0113","Tubercolosi dei bronchi"
"01130","Tubercolosi dei bronchi, non specificata"
"01131","Tubercolosi dei bronchi, esame batteriologico o istologico non effettuato"
"01132","Tubercolosi dei bronchi, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01133","Tubercolosi dei bronchi, esame microscopico dell’espettorato positivo"
"01134","Tubercolosi dei bronchi, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01135","Tubercolosi dei bronchi, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01136","Tubercolosi dei bronchi, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0114","Fibrosi tubercolare del polmone"
"01140","Fibrosi tubercolare del polmone, non specificata"
"01141","Fibrosi tubercolare del polmone, esame batteriologico o istologico non effettuato"
"01142","Fibrosi tubercolare del polmone, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01143","Fibrosi tubercolare del polmone, esame microscopico dell’espettorato positivo"
"01144","Fibrosi tubercolare del polmone, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01145","Fibrosi tubercolare del polmone, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01146","Fibrosi tubercolare del polmone, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0115","Bronchiectasia tubercolare"
"01150","Bronchiectasia tubercolare, non specificata"
"01151","Bronchiectasia tubercolare, esame batteriologico o istologico non effettuato"
"01152","Bronchiectasia tubercolare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01153","Bronchiectasia tubercolare, esame microscopico dell’espettorato positivo"
"01154","Bronchiectasia tubercolare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01155","Bronchiectasia tubercolare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01156","Bronchiectasia tubercolare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0116","Polmonite tubercolare (ogni forma)"
"01160","Polmonite tubercolare (ogni forma), non specificata"
"01161","Polmonite tubercolare (ogni forma), esame batteriologico o istologico non effettuato"
"01162","Polmonite tubercolare (ogni forma), risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01163","Polmonite tubercolare (ogni forma), esame microscopico dell’espettorato positivo"
"01164","Polmonite tubercolare (ogni forma), esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01165","Polmonite tubercolare (ogni forma), esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01166","Polmonite tubercolare (ogni forma), esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0117","Pneumotorace tubercolare"
"01170","Pneumotorace tubercolare, non specificata"
"01171","Pneumotorace tubercolare, esame batteriologico o istologico non effettuato"
"01172","Pneumotorace tubercolare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01173","Pneumotorace tubercolare, esame microscopico dell’espettorato positivo"
"01174","Pneumotorace tubercolare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01175","Pneumotorace tubercolare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01176","Pneumotorace tubercolare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0118","Altre forme di tubercolosi polmonare"
"01180","Altre forme di tubercolosi polmonare, non specificate"
"01181","Altre forme di tubercolosi polmonare, esame batteriologico o istologico non effettuato"
"01182","Altre forme di tubercolosi polmonare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01183","Altre forme di tubercolosi polmonare, esame microscopico dell’espettorato positivo"
"01184","Altre forme di tubercolosi polmonare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01185","Altre forme di tubercolosi polmonare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01186","Altre forme di tubercolosi polmonare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0119","Tubercolosi polmonare non specificata"
"01190","Tubercolosi polmonare non specificata"
"01191","Tubercolosi polmonare non specificata, esame batteriologico o istologico non effettuato"
"01192","Tubercolosi polmonare non specificata, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01193","Tubercolosi polmonare non specificata, esame microscopico dell’espettorato positivo"
"01194","Tubercolosi polmonare non specificata, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01195","Tubercolosi polmonare non specificata, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01196","Tubercolosi polmonare non specificata, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"012","Altre forme di tubercolosi dell’apparato respiratorio"
"0120","Pleurite tubercolare"
"01200","Pleurite tubercolare, non specificata"
"01201","Pleurite tubercolare, esame batteriologico o istologico non effettuato"
"01202","Pleurite tubercolare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01203","Pleurite tubercolare, esame microscopico dell’espettorato positivo"
"01204","Pleurite tubercolare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01205","Pleurite tubercolare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01206","Pleurite tubercolare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0121","Tubercolosi dei linfonodi intratoracici"
"01210","Tubercolosi dei linfonodi intratoracici, non specificata"
"01211","Tubercolosi dei linfonodi intratoracici, esame batteriologico o istologico non effettuato"
"01212","Tubercolosi dei linfonodi intratoracici, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01213","Tubercolosi dei linfonodi intratoracici, esame microscopico dell’espettorato positivo"
"01214","Tubercolosi dei linfonodi intratoracici, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01215","Tubercolosi dei linfonodi intratoracici, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01216","Tubercolosi dei linfonodi intratoracici, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0122","Tubercolosi isolata della trachea e dei bronchi"
"01220","Tubercolosi isolata della trachea e dei bronchi, non specificata"
"01221","Tubercolosi isolata della trachea e dei bronchi, esame batteriologico o istologico non effettuato"
"01222","Tubercolosi isolata della trachea e dei bronchi, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01223","Tubercolosi isolata della trachea e dei bronchi, esame microscopico dell’espettorato positivo"
"01224","Tubercolosi isolata della trachea e dei bronchi, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01225","Tubercolosi isolata della trachea e dei bronchi, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01226","Tubercolosi isolata della trachea e dei bronchi, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0123","Laringite tubercolare"
"01230","Laringite tubercolare, non specificata"
"01231","Laringite tubercolare, esame batteriologico o istologico non effettuato"
"01232","Laringite tubercolare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01233","Laringite tubercolare, esame microscopico dell’espettorato positivo"
"01234","Laringite tubercolare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01235","Laringite tubercolare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01236","Laringite tubercolare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0128","Altre forme di tubercolosi respiratoria"
"01280","Altre forme di tubercolosi respiratoria, non specificata"
"01281","Altre forme di tubercolosi respiratoria, esame batteriologico o istologico non effettuato"
"01282","Altre forme di tubercolosi respiratoria, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01283","Altre forme di tubercolosi respiratoria, esame microscopico dell’espettorato positivo"
"01284","Altre forme di tubercolosi respiratoria, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01285","Altre forme di tubercolosi respiratoria, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01286","Altre forme di tubercolosi respiratoria, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"013","Tubercolosi delle meningi e del sistema nervoso centrale"
"0130","Meningite tubercolare"
"01300","Meningite tubercolare, non specificata"
"01301","Meningite tubercolare, esame batteriologico o istologico non effettuato"
"01302","Meningite tubercolare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01303","Meningite tubercolare, esame microscopico dell’espettorato positivo"
"01304","Meningite tubercolare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01305","Meningite tubercolare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01306","Meningite tubercolare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0131","Tubercoloma delle meningi"
"01310","Tubercoloma delle meningi, non specificata"
"01311","Tubercoloma delle meningi, esame batteriologico o istologico non effettuato"
"01312","Tubercoloma delle meningi, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01313","Tubercoloma delle meningi, esame microscopico dell’espettorato positivo"
"01314","Tubercoloma delle meningi, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01315","Tubercoloma delle meningi, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01316","Tubercoloma delle meningi, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0132","Tubercoloma dell’encefalo"
"01320","Tubercoloma dell’encefalo, non specificata"
"01321","Tubercoloma dell’encefalo, esame batteriologico o istologico non effettuato"
"01322","Tubercoloma dell’encefalo, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01323","Tubercoloma dell’encefalo, esame microscopico dell’espettorato positivo"
"01324","Tubercoloma dell’encefalo, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01325","Tubercoloma dell’encefalo, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01326","Tubercoloma dell’encefalo, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0133","Ascesso tubercolare dell’encefalo"
"01330","Ascesso tubercolare dell’encefalo, non specificato"
"01331","Ascesso tubercolare dell’encefalo, esame batteriologico o istologico non effettuato"
"01332","Ascesso tubercolare dell’encefalo, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01333","Ascesso tubercolare dell’encefalo, esame microscopico dell’espettorato positivo"
"01334","Ascesso tubercolare dell’encefalo, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01335","Ascesso tubercolare dell’encefalo, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01336","Ascesso tubercolare dell’encefalo, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0134","Tubercoloma del midollo spinale"
"01340","Tubercoloma del midollo spinale, non specificato"
"01341","Tubercoloma del midollo spinale, esame batteriologico o istologico non effettuato"
"01342","Tubercoloma del midollo spinale, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01343","Tubercoloma del midollo spinale, esame microscopico dell’espettorato positivo"
"01344","Tubercoloma del midollo spinale, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01345","Tubercoloma del midollo spinale, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01346","Tubercoloma del midollo spinale, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0135","Ascesso tubercolare del midollo spinale"
"01350","Ascesso tubercolare del midollo spinale, non specificato"
"01351","Ascesso tubercolare del midollo spinale, esame batteriologico o istologico non effettuato"
"01352","Ascesso tubercolare del midollo spinale, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01353","Ascesso tubercolare del midollo spinale, esame microscopico dell’espettorato positivo"
"01354","Ascesso tubercolare del midollo spinale, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01355","Ascesso tubercolare del midollo spinale, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01356","Ascesso tubercolare del midollo spinale, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0136","Encefalite o mielite tubercolare"
"01360","Encefalite o mielite tubercolare, non specificato"
"01361","Encefalite o mielite tubercolare, esame batteriologico o istologico non effettuato"
"01362","Encefalite o mielite tubercolare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01363","Encefalite o mielite tubercolare, esame microscopico dell’espettorato positivo"
"01364","Encefalite o mielite tubercolare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01365","Encefalite o mielite tubercolare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01366","Encefalite o mielite tubercolare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0138","Altre forme di tubercolosi del sistema nervoso centrale"
"01380","Altre forme di tubercolosi del sistema nervoso centrale, non specificate"
"01381","Altre forme di tubercolosi del sistema nervoso centrale, esame batteriologico o istologico non effettuato"
"01382","Altre forme di tubercolosi del sistema nervoso centrale, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01383","Altre forme di tubercolosi del sistema nervoso centrale, esame microscopico dell’espettorato positivo"
"01384","Altre forme di tubercolosi del sistema nervoso centrale, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01385","Altre forme di tubercolosi del sistema nervoso centrale, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01386","Altre forme di tubercolosi del sistema nervoso centrale, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0139","Tubercolosi del sistema nervoso centrale non specificata"
"01390","Tubercolosi del sistema nervoso centrale non specificata"
"01391","Tubercolosi del sistema nervoso centrale non specificata, esame batteriologico o istologico non effettuato"
"01392","Tubercolosi del sistema nervoso centrale non specificata, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01393","Tubercolosi del sistema nervoso centrale non specificata, esame microscopico dell’espettorato positivo"
"01394","Tubercolosi del sistema nervoso centrale non specificata, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01395","Tubercolosi del sistema nervoso centrale non specificata, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01396","Tubercolosi del sistema nervoso centrale non specificata, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"014","Tubercolosi dell’intestino, del peritoneo e delle ghiandole mesenteriche"
"0140","Peritonite tubercolare"
"01400","Peritonite tubercolare, non specificata"
"01401","Peritonite tubercolare, esame batteriologico o istologico non effettuato"
"01402","Peritonite tubercolare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01403","Peritonite tubercolare, esame microscopico dell’espettorato positivo"
"01404","Peritonite tubercolare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01405","Peritonite tubercolare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01406","Peritonite tubercolare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0148","Tubercolosi dell’intestino e delle ghiandole mesenteriche"
"01480","Tubercolosi dell’intestino e delle ghiandole mesenteriche, non specificata"
"01481","Tubercolosi dell’intestino e delle ghiandole mesenteriche, esame batteriologico o istologico non effettuato"
"01482","Tubercolosi dell’intestino e delle ghiandole mesenteriche, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01483","Tubercolosi dell’intestino e delle ghiandole mesenteriche, esame microscopico dell’espettorato positivo"
"01484","Tubercolosi dell’intestino e delle ghiandole mesenteriche, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01485","Tubercolosi dell’intestino e delle ghiandole mesenteriche, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01486","Tubercolosi dell’intestino e delle ghiandole mesenteriche, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"015","Tubercolosi delle ossa e delle articolazioni"
"0150","Tubercolosi della colonna vertebrale"
"01500","Tubercolosi della colonna vertebrale, non specificata"
"01501","Tubercolosi della colonna vertebrale, esame batteriologico o istologico non effettuato"
"01502","Tubercolosi della colonna vertebrale, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01503","Tubercolosi della colonna vertebrale, esame microscopico dell’espettorato positivo"
"01504","Tubercolosi della colonna vertebrale, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01505","Tubercolosi della colonna vertebrale, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01506","Tubercolosi della colonna vertebrale, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0151","Tubercolosi dell’anca"
"01510","Tubercolosi dell’anca, non specificata"
"01511","Tubercolosi dell’anca, esame batteriologico o istologico non effettuato"
"01512","Tubercolosi dell’anca, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01513","Tubercolosi dell’anca, esame microscopico dell’espettorato positivo"
"01514","Tubercolosi dell’anca, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01515","Tubercolosi dell’anca, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01516","Tubercolosi dell’anca, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0152","Tubercolosi del ginocchio"
"01520","Tubercolosi del ginocchio, non specificata"
"01521","Tubercolosi del ginocchio, esame batteriologico o istologico non effettuato"
"01522","Tubercolosi del ginocchio, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01523","Tubercolosi del ginocchio, esame microscopico dell’espettorato positivo"
"01524","Tubercolosi del ginocchio, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01525","Tubercolosi del ginocchio, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01526","Tubercolosi del ginocchio, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0155","Tubercolosi delle ossa degli arti"
"01550","Tubercolosi delle ossa degli arti, non specificata"
"01551","Tubercolosi delle ossa degli arti, esame batteriologico o istologico non effettuato"
"01552","Tubercolosi delle ossa degli arti, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01553","Tubercolosi delle ossa degli arti, esame microscopico dell’espettorato positivo"
"01554","Tubercolosi delle ossa degli arti, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01555","Tubercolosi delle ossa degli arti, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01556","Tubercolosi delle ossa degli arti, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0156","Mastoidite tubercolare"
"01560","Mastoidite tubercolare, non specificata"
"01561","Mastoidite tubercolare, esame batteriologico o istologico non effettuato"
"01562","Mastoidite tubercolare, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)"
"01563","Mastoidite tubercolare, esame microscopico dell’espettorato positivo"
"01564","Mastoidite tubercolare, esame microscopico dell’espettorato negativo, ma con esame colturale positivo"
"01565","Mastoidite tubercolare, esame batteriologico negativo, ma tubercolosi confermata istologicamente"
"01566","Mastoidite tubercolare, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi"
"0157","Tubercolosi di altre ossa"
"01570","Tubercolosi di altre ossa, non specificata"
